OTU,St01_MN,St01_SG,St01_CR,St01_SD,St02_MN,St02_SG,St02_CR,St02_SD,St03_MN,St03_SG,St03_CR,St03_SD,St04_MN,St04_SG,St04_CR,St04_SD,St05_MN,St05_SG,St05_CR,St05_SD,St06_MN,St06_SG,St06_CR,St06_SD,St07_MN,St07_SG,St07_CR,St07_SD,St08_MN,St08_SG,St08_CR,St08_SD,St09_MN,St09_SG,St09_CR,St09_SD,St10_SD,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU_101,569,710,257,0,190,1028,0,0,4110,2136,191,0,523,406,221,0,0,163,141,0,0,196,111,0,0,300,390,0,0,238,0,0,0,482,431,0,0,Bacteria,Proteobacteria,GammaProteobacteria,SAR202_clade,NA,NA,NA
OTU_102,489,307,222,0,458,432,6,0,1721,755,125,0,250,291,566,0,607,334,143,0,884,140,139,0,376,198,148,0,422,567,40,0,638,167,165,0,0,Bacteria,Proteobacteria,AlphaProteobacteria,SAR118_clade,Clade_I,Clade_Ia,NA
OTU_103,645,178,72,0,513,664,0,0,1226,502,33,0,110,205,268,0,697,92,0,0,1205,0,5,8,1254,120,74,0,1094,86,11,0,1309,7,0,0,0,Bacteria,Proteobacteria,GammaProteobacteria,SAR202_clade,NA,NA,NA
OTU_104,0,0,0,619,0,0,442,880,0,0,124,1106,0,0,0,655,0,0,0,806,0,0,0,581,0,0,0,576,0,0,169,655,0,0,0,485,0,Bacteria,Verrucomicrobia,Verrucomicrobiae,Arctic97B-4_marine_group,NA,NA,NA
OTU_105,1899,556,129,0,126,473,0,0,2010,1018,64,0,1000,1812,1595,0,0,0,0,0,367,0,0,0,146,0,0,0,529,0,0,0,136,0,0,0,0,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS2b_marine_group,NA
OTU_106,1197,2378,1010,0,406,691,0,0,1657,728,60,0,373,553,722,0,0,0,0,0,280,0,0,0,396,0,0,0,0,53,0,0,0,0,0,0,0,Bacteria,Proteobacteria,GammaProteobacteria,SAR202_clade,NA,NA,NA
OTU_107,269,164,216,0,374,284,0,0,198,95,195,0,0,397,0,0,0,714,494,0,0,1050,939,0,0,777,1020,0,0,955,144,0,0,1132,475,0,0,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Cyclobacteriaceae,Marinoscillum,NA
OTU_108,900,2238,763,0,80,132,0,0,962,426,120,0,450,458,952,0,361,370,115,0,822,133,165,0,309,206,145,0,502,269,0,0,456,208,239,0,0,Bacteria,Proteobacteria,GammaProteobacteria,SAR202_clade,NA,NA,NA
OTU_109,0,2215,1316,0,0,0,0,0,0,0,69,0,0,44,152,0,0,1142,620,0,0,2359,986,0,0,2000,589,0,0,226,0,0,0,625,774,0,0,Bacteria,Actinobacteria,GammaProteobacteria,Marine_Group_I,Nitrosopumilaceae,Prochlorococcus_MIT9313,NA
OTU_110,0,0,0,679,0,0,0,638,0,0,0,939,0,0,0,604,0,0,0,834,0,0,0,1494,0,0,0,972,0,0,0,1144,0,0,0,763,0,Archaea,Marinimicrobia,Acidimicrobiia,Nitrosopumilales,Nitrosopumilaceae,NA,NA
OTU_111,0,0,0,620,0,0,88,880,0,0,11,1459,0,0,0,710,0,0,0,393,0,0,0,765,0,0,0,502,0,0,30,629,0,0,0,521,0,Bacteria,Euryarchaeota,NA,NA,NA,NA,NA
OTU_112,0,0,0,872,0,0,636,860,0,0,0,1464,0,0,0,582,0,0,0,512,0,0,0,705,0,0,0,514,0,0,93,624,0,0,0,464,0,Bacteria,Euryarchaeota,NA,NA,NA,NA,NA
OTU_113,2310,166,0,0,589,1371,0,0,1626,632,0,0,358,785,199,0,1027,0,0,0,175,0,0,0,1102,0,0,0,304,0,0,0,652,0,0,0,0,Bacteria,Proteobacteria,GammaProteobacteria,SAR202_clade,NA,NA,NA
OTU_114,1907,1189,332,9,864,1801,0,0,1607,814,49,0,720,966,815,0,284,235,87,0,366,160,85,0,366,371,212,0,157,371,0,0,324,176,43,0,0,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS5_marine_group,NA
OTU_115,0,0,0,652,0,0,0,675,0,0,0,790,0,0,0,585,0,0,0,637,0,0,0,1281,0,0,0,854,0,0,0,1055,0,0,0,629,0,Archaea,Marinimicrobia,Acidimicrobiia,Nitrosopumilales,Nitrosopumilaceae,NA,NA
OTU_116,2603,38,0,0,485,745,0,0,786,429,31,0,1104,1172,164,0,633,0,0,0,2477,0,0,0,1428,0,0,0,375,0,0,0,3166,0,0,0,0,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS4_marine_group,NA
OTU_117,169,0,19,56,149,218,83,0,223,108,85,60,106,23,76,41,0,0,29,46,24,25,0,78,12,27,17,48,25,67,83,35,79,39,38,65,0,Bacteria,Proteobacteria,GammaProteobacteria,Vibrionales,Vibrionaceae,Vibrio,NA
OTU_119,59,912,1027,0,317,739,99,0,836,513,540,0,62,47,182,0,0,522,739,0,0,553,768,0,0,585,768,0,0,1258,443,0,0,1129,1249,0,0,Bacteria,Cyanobacteria,Acidimicrobiia,Microtrichales,Microtrichaceae,Sva0996_marine_group,NA
OTU_120,0,0,43,764,0,0,630,546,0,0,108,859,0,0,0,687,0,0,0,466,0,0,0,762,0,0,0,565,0,0,501,675,0,0,29,471,0,Bacteria,Dadabacteria,Dadabacteriia,Dadabacteriales,NA,NA,NA
OTU_121,65,1280,975,0,0,0,192,0,0,0,299,0,49,143,116,0,0,803,770,0,0,661,800,0,0,929,1077,0,0,1200,203,0,0,2451,3123,0,0,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS5_marine_group,NA
OTU_122,1344,310,140,0,591,1055,0,0,1661,644,101,0,374,418,296,0,669,115,0,0,168,28,20,0,424,78,81,0,484,143,0,0,724,0,0,0,0,Bacteria,Proteobacteria,GammaProteobacteria,SAR202_clade,NA,NA,NA
OTU_123,0,0,0,606,0,0,0,930,0,0,0,978,0,0,0,519,0,0,0,537,0,0,0,781,0,0,0,664,0,0,0,781,0,0,0,574,0,Bacteria,Euryarchaeota,NA,NA,NA,NA,NA
OTU_124,243,249,104,0,435,454,0,0,964,511,69,0,125,222,71,0,0,521,407,0,0,1042,762,0,0,764,690,0,0,687,108,0,0,961,493,0,0,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS5_marine_group,NA
OTU_125,192,926,359,0,0,0,0,0,143,0,0,0,124,41,152,0,177,2004,356,0,149,647,240,0,92,1070,288,0,106,952,0,0,374,751,948,0,0,Bacteria,Actinobacteria,GammaProteobacteria,Marine_Group_I,Nitrosopumilaceae,Prochlorococcus_MIT9313,NA
OTU_126,0,53,317,0,0,0,122,0,0,21,430,0,0,30,0,0,0,947,748,0,0,174,198,0,0,208,310,0,0,2961,1013,0,0,1350,1557,0,0,Bacteria,Cyanobacteria,Acidimicrobiia,Actinomarinales,Clade_II,Prochlorococcus,NA
OTU_127,0,61,54,0,0,0,24,0,0,17,123,0,0,27,24,0,0,905,757,0,0,1320,961,0,0,967,809,0,0,1707,269,0,0,2411,2260,0,0,Bacteria,Cyanobacteria,Acidimicrobiia,Microtrichales,Microtrichaceae,Sva0996_marine_group,NA
OTU_128,93,882,585,267,84,234,310,262,297,194,131,263,30,32,100,156,0,108,98,87,0,537,450,197,0,213,155,163,0,986,450,168,0,428,611,128,0,Bacteria,Nitrospirae,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,JL-ETNP-F27,NA
OTU_129,304,226,227,0,96,90,0,0,303,220,223,0,171,135,350,0,489,843,325,0,486,388,368,0,343,643,367,0,131,487,65,0,164,273,359,0,0,Bacteria,Proteobacteria,AlphaProteobacteria,SAR118_clade,Clade_II,NA,NA
OTU_130,0,0,0,556,0,0,239,917,0,0,7,997,0,0,0,487,0,0,0,576,0,0,0,989,0,0,0,571,0,0,42,519,0,0,0,377,0,Archaea,Chloroflexi,Thermoplasmata,Marine_Group_II,NA,NA,NA
OTU_131,2079,758,603,0,273,376,0,0,608,236,0,0,385,1043,406,0,560,0,0,0,915,0,0,0,3874,69,0,0,680,0,0,0,717,0,0,0,0,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS2b_marine_group,NA
OTU_132,0,0,0,694,0,0,23,507,0,0,0,718,0,0,0,569,0,0,0,541,0,0,0,655,0,0,0,386,0,0,0,517,0,0,0,336,0,Bacteria,Euryarchaeota,NA,NA,NA,NA,NA
OTU_133,0,0,0,0,0,165,0,0,184,547,0,9560,0,0,0,439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Proteobacteria,GammaProteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,NA
OTU_134,1010,261,122,13,279,635,0,0,370,192,16,0,321,957,357,0,1642,52,0,0,385,0,0,0,3658,45,33,0,360,0,0,0,396,0,26,0,0,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS4_marine_group,NA
OTU_135,0,0,0,632,0,0,0,549,0,0,0,817,0,0,0,635,0,0,0,702,0,0,0,993,0,0,0,654,0,0,0,733,0,0,0,536,0,Archaea,Marinimicrobia,Acidimicrobiia,Nitrosopumilales,Nitrosopumilaceae,NA,NA
OTU_136,921,131,24,0,226,587,5,0,480,277,12,0,139,179,371,0,580,91,28,0,1457,151,81,0,2312,81,82,0,459,826,8,0,1492,524,10,0,0,Bacteria,Nitrospirae,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,Urania-1B-19_marine_sediment_group,NA
OTU_137,106,309,203,0,285,1213,0,0,1685,1437,84,0,294,845,258,0,31,539,310,0,0,206,117,0,73,273,261,0,11,309,87,0,35,1445,1834,0,0,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,NS9_marine_group,NA,NA
OTU_138,863,136,52,0,214,306,0,0,410,145,0,0,203,272,184,0,1262,89,0,0,1395,56,0,0,1302,147,114,0,692,111,0,0,1083,0,0,0,0,Bacteria,Proteobacteria,AlphaProteobacteria,Puniceispirillales,SAR1186_clade,NA,NA
OTU_139,594,191,49,0,139,353,0,0,978,525,34,0,349,629,556,0,196,37,0,0,1032,0,0,0,313,57,37,0,1426,0,0,0,1365,0,0,0,0,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS4_marine_group,NA
OTU_140,0,0,0,670,0,0,0,553,0,0,4,841,0,0,0,695,0,0,0,337,0,0,0,616,0,0,0,364,0,0,0,350,0,0,0,563,0,Bacteria,Acidobacteria,Subgroup_26,NA,NA,NA,NA
OTU_141,62,334,232,0,0,0,80,0,0,0,186,0,0,98,0,0,0,518,935,0,0,1003,1150,0,0,550,614,0,0,772,317,0,0,2921,2626,0,0,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS5_marine_group,NA
OTU_142,246,147,0,0,0,89,0,0,1178,261,36,0,155,67,200,0,521,138,0,0,130,0,0,0,148,83,0,0,716,0,0,0,523,0,0,0,0,Bacteria,Actinobacteria,GammaProteobacteria,Marine_Group_I,Nitrosopumilaceae,Prochlorococcus_MIT9313,NA
OTU_143,0,0,0,533,0,0,0,404,0,0,0,664,0,0,0,519,0,0,0,557,0,0,0,633,0,0,0,497,0,0,0,508,0,0,0,449,0,Bacteria,Proteobacteria,DeltaProteobacteria,SAR324_clade(Marine_group_B),NA,NA,NA
OTU_144,0,0,0,732,0,0,110,785,0,0,0,1172,0,0,0,468,0,0,0,359,0,0,0,695,0,0,0,343,0,0,0,615,0,0,0,447,0,Bacteria,Euryarchaeota,NA,NA,NA,NA,NA
OTU_146,285,394,270,0,0,81,97,0,502,296,168,0,277,199,648,0,931,369,106,0,1432,85,101,0,453,242,94,0,1705,407,110,0,1443,129,159,0,0,Bacteria,Proteobacteria,AlphaProteobacteria,SAR118_clade,Clade_I,Clade_Ib,NA
OTU_147,93,144,259,0,51,85,68,0,222,102,728,0,28,88,45,0,0,234,217,0,0,600,268,0,0,212,181,0,0,513,136,0,0,275,172,0,0,Bacteria,Proteobacteria,GammaProteobacteria,SAR202_clade,NA,NA,NA
OTU_148,0,0,0,563,0,0,0,634,0,0,0,652,0,0,0,413,0,0,0,391,0,0,0,894,0,0,0,524,0,0,0,746,0,0,0,422,0,Archaea,Marinimicrobia,Acidimicrobiia,Nitrosopumilales,Nitrosopumilaceae,NA,NA
OTU_149,0,0,0,421,0,0,0,325,0,0,0,302,0,0,0,220,0,0,0,182,0,0,0,597,0,0,0,296,0,0,0,405,0,0,0,521,0,Bacteria,Euryarchaeota1,Dehalococcoidia,SAR202_clade,NA,NA,NA
OTU_150,0,0,0,412,0,0,272,463,0,0,0,684,0,0,0,527,0,0,0,701,0,0,0,412,0,0,0,472,0,0,0,258,0,0,0,297,0,Archaea,Chloroflexi,Thermoplasmata,Marine_Group_II,NA,NA,NA
OTU_152,586,0,0,0,13,150,0,0,676,441,34,0,139,144,327,0,159,0,0,0,779,0,0,0,181,0,0,0,304,0,0,0,291,0,0,0,0,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,NS9_marine_group,NA,NA
OTU_153,73,595,711,220,11,44,799,224,67,53,203,169,29,12,222,127,0,64,33,267,0,133,118,224,0,45,30,204,0,705,94,134,0,69,99,94,0,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,NS9_marine_group,NA,NA
OTU_154,567,355,115,0,260,338,0,0,788,362,0,0,215,261,358,0,215,136,0,0,380,88,66,0,202,161,89,0,184,138,0,0,226,0,0,0,0,Bacteria,Proteobacteria,AlphaProteobacteria,Puniceispirillales,SAR1186_clade,NA,NA
OTU_155,331,1200,423,0,0,0,0,0,268,100,62,0,160,254,362,0,133,575,218,0,0,434,205,0,122,486,294,0,128,1671,0,0,149,426,319,0,0,Bacteria,Proteobacteria,AlphaProteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
OTU_156,0,0,0,549,0,0,50,526,0,0,0,578,0,0,0,429,0,0,0,296,0,0,0,543,0,0,0,480,0,0,0,421,0,0,0,349,0,Bacteria,Proteobacteria,GammaProteobacteria,HOC36,NA,NA,NA
OTU_157,116,357,602,0,133,265,716,0,275,175,1423,0,84,189,114,0,0,300,268,0,0,203,225,0,0,429,351,0,0,1396,1280,0,0,168,252,0,0,Bacteria,Proteobacteria,GammaProteobacteria,UBA10353_marine_group,NA,NA,NA
OTU_158,0,0,0,559,0,0,0,440,0,0,0,666,0,0,0,466,0,0,0,566,0,0,0,830,0,0,0,655,0,0,0,613,0,0,0,499,0,Archaea,Marinimicrobia,Acidimicrobiia,Nitrosopumilales,Nitrosopumilaceae,NA,NA
OTU_160,133,70,223,155,41,71,520,111,229,117,231,156,61,57,92,107,47,343,404,277,19,589,580,224,17,312,108,261,25,172,392,216,0,304,311,103,0,Bacteria,Proteobacteria,AlphaProteobacteria,SAR118_clade,Clade_I,Clade_Ib,NA
OTU_161,0,0,0,428,0,0,34,355,0,35,6,423,0,0,0,373,0,0,0,687,0,3,0,704,0,0,0,660,0,0,22,712,0,0,0,426,0,Bacteria,Proteobacteria,AlphaProteobacteria,SAR118_clade,NA,NA,NA
OTU_162,1137,882,343,0,218,513,0,0,1198,561,0,0,281,364,531,0,997,106,0,0,698,131,0,13,327,186,151,0,457,0,0,0,744,0,0,0,0,Bacteria,Proteobacteria,GammaProteobacteria,SAR202_clade,NA,NA,NA
OTU_163,159,484,79,0,0,0,0,0,313,66,0,0,57,0,346,0,346,224,0,0,176,66,0,0,126,167,0,0,420,0,0,0,390,0,0,0,0,Bacteria,Actinobacteria,GammaProteobacteria,Marine_Group_I,Nitrosopumilaceae,Prochlorococcus_MIT9313,NA
OTU_164,114,156,270,0,0,0,126,0,183,117,201,0,81,81,141,0,0,993,498,0,0,930,623,0,0,633,310,0,0,1667,202,0,0,901,680,0,0,Bacteria,Proteobacteria,AlphaProteobacteria,SAR118_clade,Clade_I,Clade_Ib,NA
OTU_165,385,648,231,0,12,81,0,0,346,231,0,0,296,680,927,0,504,222,0,0,1074,0,0,0,575,151,161,0,2425,111,0,0,2086,0,0,0,0,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS4_marine_group,NA
OTU_166,101,120,265,172,0,0,377,129,0,0,190,166,0,0,128,120,0,710,469,270,0,753,486,190,0,814,152,277,0,119,171,177,0,354,266,161,0,Bacteria,Proteobacteria,AlphaProteobacteria,SAR118_clade,Clade_I,Clade_Ib,NA
OTU_167,550,100,0,0,255,593,0,0,1823,574,42,0,146,579,429,0,548,64,0,0,1531,0,0,0,1056,0,0,0,693,22,0,0,714,0,0,0,0,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS2b_marine_group,NA
OTU_168,16,76,95,134,0,60,25,36,0,333,25,680,13,82,0,7828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Proteobacteria,AlphaProteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
OTU_169,0,0,0,351,0,0,1254,971,0,6,83,901,0,0,0,373,0,0,9,535,0,0,0,403,0,0,0,397,0,0,429,334,0,0,0,243,0,Bacteria,Nitrospirae,Pla3_lineage,NA,NA,NA,NA
OTU_170,469,263,169,47,249,288,12,0,894,365,132,53,242,188,506,27,319,258,135,32,340,195,185,16,248,239,162,28,192,342,41,27,144,173,209,19,0,Bacteria,Proteobacteria,AlphaProteobacteria,SAR118_clade,Clade_I,Clade_Ia,NA
OTU_171,90,366,440,0,0,0,218,0,69,71,538,0,75,137,135,0,0,388,411,0,0,589,536,0,0,484,391,0,0,674,415,0,0,615,564,0,0,Bacteria,Proteobacteria,AlphaProteobacteria,Rhodospirillales,AEGEAN-169_marine_group,NA,NA
OTU_172,251,285,335,0,150,209,99,0,496,182,107,0,99,71,81,0,14,356,577,0,0,722,578,0,0,326,258,0,0,117,205,0,0,147,2016,0,0,Bacteria,NA,NA,NA,NA,NA,NA
OTU_173,0,149,273,0,15,52,248,0,28,57,882,0,0,0,40,0,0,209,348,0,0,530,542,0,0,183,35,0,0,24,156,0,0,65,361,0,0,Archaea,Chloroflexi,Thermoplasmata,Marine_Group_III,NA,NA,NA
OTU_174,0,61,433,0,0,15,205,0,0,15,224,0,0,10,19,0,0,561,684,0,0,257,395,0,0,158,174,0,0,1587,1164,0,0,1425,2067,0,0,Bacteria,Cyanobacteria,Acidimicrobiia,Actinomarinales,Clade_II,Prochlorococcus,NA
OTU_175,0,0,0,654,0,0,0,403,0,0,0,781,0,0,0,596,0,0,0,354,0,0,0,470,0,0,0,364,0,0,0,332,0,0,0,464,0,Bacteria,Proteobacteria,GammaProteobacteria,EPR3968-O8a-Bc78,NA,NA,NA
OTU_176,0,0,0,475,0,0,0,322,0,0,0,532,0,0,0,399,0,0,0,460,0,0,0,753,0,0,0,536,0,0,13,537,0,0,0,483,0,Archaea,Marinimicrobia,Acidimicrobiia,Nitrosopumilales,Nitrosopumilaceae,NA,NA
OTU_177,0,0,0,467,0,0,18,373,0,0,0,565,0,0,0,437,0,0,0,458,0,0,0,883,0,0,0,555,0,0,15,602,0,0,0,502,0,Archaea,Marinimicrobia,Acidimicrobiia,Nitrosopumilales,Nitrosopumilaceae,NA,NA
OTU_178,270,672,265,0,375,937,0,0,1640,1135,169,0,183,150,493,0,0,484,287,0,0,150,143,0,0,575,285,0,0,147,0,0,0,148,293,0,0,Bacteria,Proteobacteria,GammaProteobacteria,Oceanospirillales,Pseudohongiellaceae,Pseudohongiella,NA
OTU_179,25,124,220,0,6,28,856,0,23,27,686,0,9,22,22,0,0,395,651,0,0,585,604,0,0,298,137,0,0,168,508,0,0,259,698,0,0,Bacteria,Euryarchaeota,NA,NA,NA,NA,NA
OTU_180,32,218,443,0,0,0,251,0,0,0,698,0,0,0,0,0,0,550,347,0,0,202,144,0,0,159,98,0,0,1996,488,0,0,858,997,0,0,Bacteria,Euryarchaeota,NA,NA,NA,NA,NA
OTU_181,0,0,0,354,0,0,0,409,0,0,0,424,0,0,0,403,0,0,0,445,0,0,0,482,0,0,0,488,0,0,0,443,0,0,0,361,0,Bacteria,Proteobacteria,AlphaProteobacteria,SAR118_clade,Clade_I,NA,NA
OTU_182,0,0,0,612,0,0,0,541,0,0,0,756,0,0,0,534,0,0,0,539,0,0,0,812,0,0,0,500,0,0,0,639,0,0,0,463,0,Archaea,Marinimicrobia,Acidimicrobiia,Nitrosopumilales,Nitrosopumilaceae,NA,NA
OTU_183,1965,1038,195,0,250,324,0,0,535,274,26,0,272,521,335,0,110,113,13,0,138,39,20,0,467,59,95,0,100,337,0,0,259,45,0,0,0,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,NS7_marine_group,NA,NA
OTU_184,0,0,0,587,0,0,260,869,0,0,0,969,0,0,0,317,0,0,0,732,0,0,0,379,0,0,0,447,0,0,77,697,0,0,0,397,0,Bacteria,Nitrospirae,Planctomycetacia,Pirellulales,Pirellulaceae,NA,NA
OTU_185,726,199,127,0,690,858,0,0,1375,784,51,0,241,370,188,0,0,79,0,0,0,0,0,0,4,98,88,0,0,50,0,0,0,0,0,0,0,Bacteria,Proteobacteria,GammaProteobacteria,SAR202_clade,NA,NA,NA
OTU_186,0,0,12,337,0,0,159,768,0,0,180,601,0,0,0,442,0,0,0,590,0,0,0,759,0,0,0,423,0,0,240,393,0,0,0,351,0,Bacteria,Nitrospirae,Pla3_lineage,NA,NA,NA,NA
OTU_187,500,195,78,0,171,363,0,0,720,391,28,0,259,299,414,0,541,92,57,0,482,134,118,0,283,132,121,0,338,191,0,0,458,76,66,0,0,Bacteria,Proteobacteria,AlphaProteobacteria,NA,NA,NA,NA
OTU_188,0,0,0,447,0,0,34,276,0,0,0,371,0,0,0,305,0,0,0,669,0,0,0,500,0,0,0,609,0,0,0,565,0,0,0,326,0,Bacteria,Proteobacteria,AlphaProteobacteria,SAR118_clade,Clade_II,NA,NA
OTU_189,83,266,78,0,380,772,71,0,762,635,214,0,157,130,532,0,8,638,376,0,0,332,250,0,0,360,162,0,0,271,90,0,0,564,524,0,0,Bacteria,Verrucomicrobia,Verrucomicrobiae,Arctic97B-4_marine_group,NA,NA,NA
OTU_190,34,445,91,0,68,149,0,0,531,355,0,0,144,104,731,0,0,912,167,0,0,188,141,0,0,1398,1215,0,0,453,0,0,0,308,397,0,0,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,DEV007,NA,NA
OTU_191,0,0,0,346,0,0,92,370,0,0,0,472,0,0,0,301,0,0,0,495,0,0,0,743,0,0,0,508,0,0,70,624,0,0,0,349,0,Archaea,Marinimicrobia,Acidimicrobiia,Nitrosopumilales,Nitrosopumilaceae,NA,NA
OTU_192,240,409,249,0,0,78,4,0,274,174,77,0,233,161,494,0,799,269,49,0,1347,56,44,0,420,181,96,0,1279,197,7,0,1420,32,30,0,0,Bacteria,Proteobacteria,AlphaProteobacteria,SAR118_clade,Clade_I,Clade_Ib,NA
OTU_193,311,290,139,0,83,255,0,0,789,513,76,0,211,172,327,0,537,229,81,0,755,57,34,0,351,263,196,0,1018,403,0,0,796,79,44,0,0,Bacteria,Proteobacteria,AlphaProteobacteria,Rhodospirillales,AEGEAN-169_marine_group,NA,NA
OTU_194,611,282,93,0,211,382,0,0,711,282,65,0,201,254,283,0,227,143,92,0,200,173,160,0,245,183,99,0,197,127,0,0,249,77,77,0,0,Bacteria,Proteobacteria,AlphaProteobacteria,Puniceispirillales,SAR1186_clade,NA,NA
OTU_195,956,358,145,0,718,1160,0,0,1425,619,66,0,185,297,174,0,66,86,82,0,0,125,80,0,19,178,125,0,0,150,0,0,0,33,35,0,0,Bacteria,Euryarchaeota,NA,NA,NA,NA,NA
OTU_196,1096,359,83,0,464,576,84,67,187,76,22,37,1199,825,151,48,193,345,52,50,0,76,22,26,186,159,135,24,97,1101,189,42,28,144,70,24,0,Bacteria,Actinobacteria,GammaProteobacteria,Marine_Group_I,Nitrosopumilaceae,Cyanobium_PCC-6307,NA
OTU_197,199,882,316,0,0,0,0,0,178,102,256,0,127,181,124,0,0,296,326,0,0,375,303,0,0,352,354,0,0,443,53,0,0,1429,1382,0,0,Bacteria,Proteobacteria,GammaProteobacteria,SAR202_clade,NA,NA,NA
OTU_198,228,142,130,0,179,205,0,0,789,348,65,0,76,84,266,0,188,254,197,0,299,330,249,0,232,285,188,0,97,226,65,0,87,218,319,0,0,Bacteria,Proteobacteria,AlphaProteobacteria,SAR118_clade,Clade_I,Clade_Ia,NA
OTU_199,496,64,62,0,564,936,0,0,1276,553,93,0,214,233,53,0,9,149,115,0,0,209,143,0,0,0,0,0,0,203,122,0,0,295,361,0,0,Bacteria,Proteobacteria,GammaProteobacteria,Steroidobacterales,Woeseiaceae,Woeseia,NA
OTU_200,187,249,0,0,0,0,0,0,728,142,0,0,0,0,310,0,358,58,0,0,751,13,0,0,196,46,0,0,469,15,0,0,754,0,0,0,0,Bacteria,Actinobacteria,GammaProteobacteria,Marine_Group_I,Nitrosopumilaceae,Prochlorococcus_MIT9313,NA
OTU_201,0,199,213,0,0,0,0,0,0,0,159,0,0,72,0,0,0,363,430,0,0,1732,1044,0,0,645,488,0,0,680,131,0,0,1123,581,0,0,Bacteria,Proteobacteria,AlphaProteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
OTU_202,0,34,21,874,53,0,0,313,0,0,0,126,34,48,0,94,30,49,136,321,34,26,39,178,0,0,149,216,0,17,437,574,0,0,0,431,0,Bacteria,Proteobacteria,AlphaProteobacteria,Rhodobacterales,Rhodobacteraceae,Thiobacimonas,profunda
OTU_203,0,35,231,0,0,0,300,0,0,0,140,0,0,0,0,0,0,545,555,0,0,136,174,0,0,113,159,0,0,683,1165,0,0,1290,2495,0,0,Bacteria,Cyanobacteria,Acidimicrobiia,Actinomarinales,Clade_II,Prochlorococcus,NA
OTU_204,91,321,70,0,0,0,0,0,417,80,0,0,68,0,146,0,227,337,0,0,54,56,0,0,55,150,0,0,232,55,0,0,317,25,0,0,0,Bacteria,Actinobacteria,GammaProteobacteria,Marine_Group_I,Nitrosopumilaceae,Prochlorococcus_MIT9313,NA
OTU_205,0,0,0,402,0,0,0,354,0,0,0,533,0,0,0,349,0,0,0,445,0,0,0,606,0,0,0,482,0,0,10,515,0,0,0,275,0,Archaea,Marinimicrobia,Acidimicrobiia,Nitrosopumilales,Nitrosopumilaceae,NA,NA
OTU_206,0,0,0,322,0,0,0,291,0,0,0,379,0,0,0,268,0,0,0,238,0,0,0,811,0,0,0,317,0,0,0,423,0,0,0,587,0,Bacteria,Euryarchaeota1,Dehalococcoidia,SAR202_clade,NA,NA,NA
OTU_207,0,0,147,0,34,117,108,0,74,89,527,0,0,0,0,0,0,312,214,0,0,202,182,0,0,178,161,0,0,2311,691,0,0,363,347,0,0,Bacteria,Cyanobacteria,Acidimicrobiia,Microtrichales,Microtrichaceae,Sva0996_marine_group,NA
OTU_208,545,119,100,0,123,231,0,0,1078,573,65,0,320,234,396,0,206,155,68,0,335,102,55,0,129,141,48,0,220,176,0,0,296,61,37,0,0,Bacteria,Proteobacteria,AlphaProteobacteria,SAR118_clade,Clade_I,Clade_Ia,NA
OTU_209,323,176,129,0,38,64,0,0,374,210,95,0,165,94,368,0,808,173,70,0,836,59,56,0,306,137,73,0,238,128,0,0,380,53,0,0,0,Bacteria,Proteobacteria,AlphaProteobacteria,SAR118_clade,Clade_II,NA,NA
OTU_210,0,235,252,0,131,248,29,0,86,39,411,0,11,25,62,0,0,117,231,0,0,465,323,0,0,354,452,0,0,1053,177,0,0,51,125,0,0,Bacteria,NA,NA,NA,NA,NA,NA
